"customer_id","account_num","lname","fname","address","city","state_province","postal_code","country","customer_region_id","phone","marital_status","gender","total_children","num_children_at_home","education","member_card","age","year_income"
1,87462024688,"Nowmer","Sheri","2433 Bailey Road","Tlaxiaco","Oaxaca","15057","Mexico",30,"271-555-9715","S","F",4,1,"Partial College","Bronze",39,100000,
2,87470586299,"Whelply","Derrick","2219 Dewing Avenue","Sooke","BC","17172","Canada",101,"211-555-7669","M","M",1,0,"Graduate Degree","Gloden",85,80000,
3,87475757600,"Derry","Jeanne","7640 First Ave.","Issaquah","WA","73980","USA",21,"656-555-2272","M","F",1,1,"Partial High School","Gloden",90,20000,
4,87500482201,"Spence","Michael","337 Tosca Way","Burnaby","BC","74674","Canada",92,"929-555-7279","S","M",4,0,"Partial High School","Normal",31,20000,
5,87514054179,"Gutierrez","Maya","8668 Via Neruda","Novato","CA","57355","USA",42,"387-555-7172","M","F",3,0,"High School Degree","Bronze",49,40000,
6,87517782449,"Damstra","Robert","1619 Stillman Court","Lynnwood","WA","90792","USA",75,"922-555-5465","M","F",3,2,"Partial College","Silver",58,40000,
7,87521172800,"Kanagaki","Rebecca","2860 D Mt. Hood Circle","Tlaxiaco","Oaxaca","13343","Mexico",30,"515-555-6247","M","F",2,1,"Partial College","Bronze",51,60000,
8,87539744377,"Brunner","Kim","6064 Brodia Court","San Andres","DF","12942","Mexico",106,"411-555-6825","S","M",2,0,"High School Degree","Bronze",78,40000,
9,87544797658,"Blumberg","Brenda","7560 Trees Drive","Richmond","BC","17256","Canada",90,"815-555-3975","M","M",5,2,"Graduate Degree","Bronze",21,80000,
10,87568712234,"Stanz","Darren","1019 Kenwal Rd.","Lake Oswego","OR","82017","USA",64,"847-555-5443","M","M",4,3,"Partial College","Gloden",51,100000,
11,87572821378,"Murraiin","Jonathan","5423 Camby Rd.","La Mesa","CA","35890","USA",11,"612-555-4878","S","M",4,1,"Graduate Degree","Bronze",33,120000,
12,87579237222,"Creek","Jewel","1792 Belmont Rd.","Chula Vista","CA","40520","USA",13,"555-555-2714","S","F",1,0,"Graduate Degree","Normal",29,80000,
13,87587122917,"Medina","Peggy","3796 Keller Ridge","Mexico City","Mexico","59554","Mexico",2,"343-555-9778","S","M",4,1,"Bachelors Degree","Bronze",25,60000,
14,87592626810,"Rutledge","Bryan","3074 Ardith Drive","Lincoln Acres","CA","30346","USA",10,"659-555-3160","M","F",2,1,"Bachelors Degree","Bronze",88,60000,
15,87597749829,"Cavestany","Walter","7987 Seawind Dr.","Oak Bay","BC","15542","Canada",99,"471-555-8853","M","M",3,1,"Partial High School","Normal",59,20000,
16,87603285908,"Planck","Peggy","4864 San Carlos","Camacho","Zacatecas","77787","Mexico",27,"698-555-7603","S","F",2,1,"Bachelors Degree","Bronze",81,60000,
17,87625473141,"Marshall","Brenda","2687 Ridge Road","Arcadia","CA","28530","USA",51,"771-555-6581","S","M",3,3,"Partial College","Normal",72,40000,
18,87637655735,"Wolter","Daniel","2473 Orchard Way","Altadena","CA","49680","USA",50,"121-555-3960","S","M",3,1,"Partial College","Bronze",86,40000,
19,87650814652,"Collins","Dianne","551 Rainier Dr","Oakland","CA","21486","USA",37,"217-555-1567","S","F",1,1,"Bachelors Degree","Normal",47,80000,
20,87653979700,"Baker","Beverly","591 Merriewood Drive","Spring Valley","CA","88762","USA",15,"617-555-7972","M","F",2,1,"High School Degree","Bronze",26,40000,
21,87663244009,"Castillo","Pedro","1579 Plaza Rosa","Renton","WA","71442","USA",73,"975-555-7865","M","M",1,1,"Partial College","Silver",82,40000,
22,87675641200,"Borges","Laurie","1873 Lyon Circle","Bellingham","WA","78588","USA",78,"610-555-6158","M","F",4,2,"High School Degree","Silver",53,40000,
23,87678398489,"Wyro","Shauna","3114 Notre Dame Ave.","La Jolla","CA","27430","USA",33,"444-555-1517","S","F",2,2,"High School Degree","Silver",84,60000,
24,87681713700,"Wyllie","Jacqueline","6318 Marclair Dr.","Santa Fe","DF","99737","Mexico",109,"102-555-7439","S","F",0,0,"Partial College","Normal",79,20000,
25,87686740159,"Conley","Lin","7814 Milburn Dr.","Haney","BC","65710","Canada",93,"506-555-4589","S","F",3,0,"Graduate Degree","Bronze",48,100000,
26,87691326700,"Bernard","Jose","3928 San Francisco","Burbank","CA","51809","USA",53,"425-555-3796","S","M",0,0,"High School Degree","Silver",46,40000,
27,87700161933,"Macaluso","Charles","5678 McElroy Court","Anacortes","WA","58052","USA",79,"852-555-8574","M","F",1,0,"Bachelors Degree","Bronze",66,60000,
28,87709978818,"Wood","Lois","2046 Las Palmas","Everett","WA","88974","USA",81,"794-555-6410","M","F",1,0,"Partial College","Gloden",30,40000,
29,87717585563,"Armstrong","Kevin","608 Lincoln Dr.","Oak Bay","BC","90098","Canada",99,"583-555-4474","M","F",2,2,"Graduate Degree","Bronze",63,120000,
30,87718932032,"Goldey","Cody","7230 Berrellesa Street","Milwaukie","OR","78800","USA",65,"548-555-9939","M","F",4,1,"Partial College","Bronze",83,40000,
31,87729650139,"Nickell","Paula","2144 San Rafael","Concord","CA","63996","USA",46,"598-555-1289","S","F",4,2,"Partial College","Bronze",22,60000,
32,87738383412,"Long","Eric","1676 Greer Ave.","Ladner","BC","99949","Canada",96,"937-555-2299","M","F",2,0,"High School Degree","Bronze",70,80000,
33,87742803692,"Solimena","Mary","6843 San Simeon Dr.","Santa Cruz","CA","51307","USA",40,"111-555-1278","S","F",2,1,"Bachelors Degree","Bronze",29,60000,
34,87767067000,"Muenich","Nathan","6629 Polson Circle","La Mesa","CA","53422","USA",11,"361-555-7656","M","F",3,2,"Graduate Degree","Bronze",81,80000,
35,87771052718,"Young","Ed","Rt. 470 Box A","Merida","Yucatan","69940","Mexico",26,"457-555-5263","S","M",5,3,"Bachelors Degree","Gloden",80,60000,
36,87788449525,"Arnold","Donna","7403 N. Broadway","Oregon City","OR","38217","USA",68,"969-555-4928","S","M",1,1,"Bachelors Degree","Bronze",85,60000,
37,87797676324,"Cooper","Jennifer","5734 Ashford Court","Seattle","WA","93604","USA",18,"188-555-1163","S","M",0,0,"Bachelors Degree","Bronze",39,60000,
38,87801286578,"Petty","Peggy","8684 Military East","Arcadia","CA","28043","USA",51,"722-555-8456","M","M",1,0,"High School Degree","Bronze",42,40000,
39,87808394432,"Olguin","Jessica","7270 Pepperidge Way","Lebanon","OR","49592","USA",72,"203-555-6978","S","F",4,3,"Bachelors Degree","Bronze",41,60000,
40,87814209461,"Burchett","Phyllis","475 Santa Maria","Santa Cruz","CA","49192","USA",40,"761-555-3899","M","M",1,0,"High School Degree","Normal",74,120000,
41,87818307900,"Bechard","Howard","1970 Napa Ct.","W. Linn","OR","36903","USA",66,"616-555-6966","S","M",1,1,"High School Degree","Bronze",81,80000,
42,87849287390,"Carter","Doris","8084 Cardiff Drive","San Andres","DF","94169","Mexico",106,"535-555-6174","M","F",3,1,"High School Degree","Bronze",35,40000,
43,87855359911,"Sharp","Juanita","9833 Mt. Dias Blv.","Burbank","CA","48042","USA",53,"962-555-1952","S","F",2,1,"Partial College","Bronze",23,40000,
44,87868926525,"Brunner","Sandra","6202 Seeno St.","Bellflower","CA","52673","USA",55,"904-555-8788","S","M",1,1,"Bachelors Degree","Bronze",83,80000,
45,87869548800,"Staton","Ernest","862 The Alameda","Renton","WA","71706","USA",73,"693-555-6852","M","M",5,4,"Graduate Degree","Bronze",84,100000,
46,87894418239,"Sims","Rose","7484 Roundtree Drive","Mill Valley","CA","68791","USA",38,"658-555-3316","S","F",1,0,"High School Degree","Silver",72,160000,
47,87894944000,"De Carlo","Lauretta","5053 Loftus Road","Oak Bay","BC","53986","Canada",99,"708-555-3666","M","M",0,0,"High School Degree","Bronze",49,40000,
48,87901939153,"Williams","Mary","1930 Almondwood Drive","Camacho","Zacatecas","89939","Mexico",27,"696-555-7759","M","M",0,0,"Partial College","Silver",73,60000,
49,87902239561,"Burke","Terri","9752 Jeanne Circle","Arcadia","CA","41297","USA",51,"770-555-6738","S","F",4,1,"Graduate Degree","Bronze",70,140000,
50,87910291552,"Osborn","Audrey","9539 Glenside Dr","Altadena","CA","43412","USA",50,"119-555-4116","S","M",4,3,"Bachelors Degree","Gloden",78,80000,
51,87923139333,"Binai","Brian","7616 Honey Court","Oakland","CA","33639","USA",37,"216-555-1723","M","F",4,4,"High School Degree","Gloden",45,40000,
52,87939313100,"Lozada","Concepcion","7657 H St.","Tixapan","DF","19185","Mexico",107,"727-555-1388","M","F",3,2,"Partial College","Bronze",88,40000,
53,87952010600,"Tays","Paul","5988 Red Leaf","Oak Bay","BC","83595","Canada",99,"298-555-3541","M","M",4,3,"High School Degree","Gloden",68,80000,
